,Rank,Name,Team,Position,ProjectedPoints,position,team,adp,adp_formatted,times_drafted,high,low,stdev,bye
16,17,Jonathan Taylor,Ind,RB,289.3,RB,IND,18.5,2.07,1443.0,11.0,28.0,2.8,11.0
17,18,Josh Jacobs,GB,RB,281.9,RB,GB,16.6,2.05,1360.0,9.0,27.0,2.8,5.0
18,19,Derrick Henry,Bal,RB,281.6,RB,BAL,11.1,1.11,2315.0,4.0,19.0,2.5,7.0
19,20,Brock Bowers,LV,TE,262.6,TE,LV,27.1,3.03,2598.0,14.0,40.0,5.0,8.0
20,21,Trey McBride,Ari,TE,259.3,TE,ARI,32.6,3.09,1603.0,21.0,44.0,4.2,8.0
21,22,Bucky Irving,TB,RB,283.0,RB,TB,19.5,2.08,1804.0,11.0,30.0,3.2,9.0
22,23,Chase Brown,Cin,RB,280.8,RB,CIN,20.1,2.08,2848.0,11.0,32.0,3.4,10.0
23,24,Tee Higgins,Cin,WR,264.9,WR,CIN,21.7,2.10,429.0,13.0,32.0,3.3,10.0
24,25,Tyreek Hill,Mia,WR,263.1,WR,MIA,26.4,3.02,912.0,16.0,42.0,4.0,12.0
25,26,Ladd McConkey,LAC,WR,253.2,WR,LAC,23.4,2.11,1312.0,14.0,38.0,3.5,12.0
26,27,Davante Adams,LAR,WR,257.2,WR,LAR,29.0,3.05,505.0,18.0,46.0,4.1,8.0
27,28,Josh Allen,Buf,QB,366.2,QB,BUF,24.7,3.01,1528.0,11.0,42.0,5.0,7.0
28,29,Lamar Jackson,Bal,QB,363.6,QB,BAL,22.9,2.11,1362.0,9.0,36.0,5.3,7.0
29,30,Jayden Daniels,Wsh,QB,370.9,QB,WAS,31.4,3.07,1120.0,19.0,44.0,4.6,12.0
30,31,Jalen Hurts,Phi,QB,364.2,QB,PHI,38.5,4.02,1539.0,24.0,55.0,5.3,9.0
31,32,Kyren Williams,LAR,RB,279.3,RB,LAR,23.1,2.11,1355.0,15.0,33.0,2.9,8.0
32,33,James Cook,Buf,RB,269.0,RB,BUF,33.7,3.10,2305.0,20.0,48.0,5.1,7.0
33,34,Jaxon Smith-Njigba,Sea,WR,241.0,WR,SEA,33.0,3.09,1866.0,21.0,48.0,4.4,8.0
34,35,Terry McLaurin,Wsh,WR,247.5,WR,WAS,38.3,4.02,1775.0,23.0,59.0,5.6,12.0
35,36,Garrett Wilson,NYJ,WR,239.8,WR,NYJ,39.5,4.03,920.0,25.0,56.0,5.3,9.0
36,37,Omarion Hampton,LAC,RB,259.0,RB,LAC,38.6,4.03,2937.0,21.0,56.0,6.5,12.0
37,38,Alvin Kamara,NO,RB,266.4,RB,NO,29.7,3.06,1014.0,19.0,42.0,3.8,11.0
38,39,Joe Burrow,Cin,QB,330.3,QB,CIN,30.3,3.06,839.0,18.0,44.0,4.6,10.0
39,40,George Kittle,SF,TE,227.9,TE,SF,43.9,4.08,1794.0,28.0,60.0,5.9,14.0
40,41,Chuba Hubbard,Car,RB,257.6,RB,CAR,40.2,4.04,929.0,25.0,55.0,5.7,14.0
41,42,James Conner,Ari,RB,250.1,RB,ARI,42.3,4.06,791.0,28.0,55.0,5.3,8.0
42,43,TreVeyon Henderson,NE,RB,225.0,RB,NE,50.3,5.02,3033.0,31.0,71.0,7.2,14.0
43,44,Kenneth Walker III,Sea,RB,239.0,RB,SEA,44.0,4.08,1853.0,28.0,58.0,6.0,8.0
44,45,Marvin Harrison Jr.,Ari,WR,240.1,WR,ARI,39.0,4.03,1301.0,26.0,53.0,4.6,8.0
45,46,DK Metcalf,Pit,WR,239.9,WR,PIT,37.6,4.02,935.0,25.0,58.0,4.8,5.0
46,47,Tetairoa McMillan,Car,WR,234.8,WR,CAR,52.3,5.04,1892.0,35.0,74.0,6.4,14.0
47,48,Xavier Worthy,KC,WR,248.4,WR,KC,50.9,5.03,1067.0,35.0,70.0,6.1,10.0
48,49,Mike Evans,TB,WR,234.7,WR,TB,30.0,3.06,1029.0,19.0,45.0,4.0,9.0
49,50,DJ Moore,Chi,WR,238.6,WR,CHI,43.5,4.07,524.0,31.0,59.0,4.7,5.0
50,51,Breece Hall,NYJ,RB,223.7,RB,NYJ,47.5,4.11,793.0,32.0,60.0,5.9,9.0
51,52,D'Andre Swift,Chi,RB,226.7,RB,CHI,56.8,5.09,1258.0,41.0,75.0,6.0,5.0
52,53,Zay Flowers,Bal,WR,232.5,WR,BAL,56.8,5.09,854.0,39.0,83.0,6.6,7.0
53,54,Courtland Sutton,Den,WR,227.6,WR,DEN,47.3,4.11,2153.0,33.0,70.0,5.2,12.0
54,55,Calvin Ridley,Ten,WR,230.8,WR,TEN,57.1,5.09,2151.0,41.0,85.0,5.9,10.0
55,56,DeVonta Smith,Phi,WR,222.8,WR,PHI,48.3,4.12,732.0,34.0,68.0,5.3,9.0
56,57,Jaylen Waddle,Mia,WR,226.1,WR,MIA,65.2,6.05,1243.0,48.0,83.0,6.3,12.0
57,58,Jerry Jeudy,Cle,WR,231.7,WR,CLE,58.8,5.11,538.0,42.0,75.0,6.1,9.0
58,59,Jameson Williams,Det,WR,218.8,WR,DET,63.4,6.03,1905.0,45.0,83.0,6.7,8.0
59,60,Rashee Rice,KC,WR,162.9,WR,KC,82.5,7.10,1657.0,54.0,109.0,10.9,10.0
